Date,Time,Type,Strike,Open_5m
2025-01-04,11:45,PE,21900,99.3
2025-01-04,11:45,PE,22000,112.35
2025-01-04,11:45,PE,22100,123.2
2025-01-04,11:45,PE,22200,135.55
2025-01-04,11:45,PE,22300,152.25
2025-01-04,11:45,PE,22400,171.95
2025-01-04,11:45,PE,22500,190.35
2025-01-04,11:45,PE,22600,210.35
2025-01-04,11:45,PE,22700,234.85
2025-01-04,11:45,PE,22800,258.3
2025-01-04,11:45,PE,22900,287.8
2025-01-04,11:45,PE,22950,298.0
2025-01-04,11:45,PE,23000,314.65
2025-01-04,11:45,PE,23050,329.35
2025-01-04,11:45,PE,23100,346.6
2025-01-04,11:45,PE,23200,379.05
2025-01-04,11:45,PE,23300,416.0
2025-01-04,11:45,PE,23400,459.6
2025-01-04,11:45,PE,23500,501.95
2025-01-04,11:45,PE,23550,515.7
2025-01-04,11:45,PE,23600,555.35
2025-01-04,11:45,PE,23700,604.45
2025-01-04,11:45,PE,23800,656.0
2025-01-04,11:45,PE,24000,778.95
2025-01-04,11:45,PE,24100,832.25
2025-01-04,11:45,PE,24500,1141.0
2025-01-04,11:50,CE,21500,2000.0
2025-01-04,11:50,CE,22000,1550.0
2025-01-04,11:50,CE,22500,1155.95
2025-01-04,11:50,CE,22800,923.75
2025-01-04,11:50,CE,23000,784.15
2025-01-04,11:50,CE,23100,709.5
2025-01-04,11:50,CE,23200,650.5
2025-01-04,11:50,CE,23300,581.3
2025-01-04,11:50,CE,23400,529.0
2025-01-04,11:50,CE,23500,473.5
2025-01-04,11:50,CE,23650,393.35
2025-01-04,11:50,CE,23700,374.55
2025-01-04,11:50,CE,23800,330.5
2025-01-04,11:50,CE,23900,289.7
2025-01-04,11:50,CE,23950,267.15
2025-01-04,11:50,CE,24000,256.8
2025-01-04,11:50,CE,24050,235.05
2025-01-04,11:50,CE,24100,219.05
2025-01-04,11:50,CE,24150,204.25
2025-01-04,11:50,CE,24200,190.25
2025-01-04,11:50,CE,24300,162.95
2025-01-04,11:50,CE,24350,149.7
2025-01-04,11:50,CE,24400,141.35
2025-01-04,11:50,CE,24450,129.85
2025-01-04,11:50,CE,24500,121.25
2025-01-04,11:50,CE,24600,103.8
2025-01-04,11:50,CE,24700,88.35
2025-01-04,11:50,CE,24750,82.55
2025-01-04,11:50,CE,24800,77.0
2025-01-04,11:50,CE,24900,64.05
2025-01-04,11:50,PE,21400,61.05
2025-01-04,11:50,PE,21500,66.5
2025-01-04,11:50,PE,21700,81.1
2025-01-04,11:50,PE,21800,90.0
2025-01-04,11:50,PE,21900,97.75
2025-01-04,11:50,PE,22000,111.8
2025-01-04,11:50,PE,22100,119.8
2025-01-04,11:50,PE,22200,133.7
2025-01-04,11:50,PE,22250,142.85
2025-01-04,11:50,PE,22300,149.3
2025-01-04,11:50,PE,22400,166.05
2025-01-04,11:50,PE,22500,187.75
2025-01-04,11:50,PE,22600,207.4
2025-01-04,11:50,PE,22700,229.85
2025-01-04,11:50,PE,22800,252.95
2025-01-04,11:50,PE,23000,309.4
2025-01-04,11:50,PE,23050,325.75
2025-01-04,11:50,PE,23100,339.55
2025-01-04,11:50,PE,23200,372.95
2025-01-04,11:50,PE,23300,414.25
2025-01-04,11:50,PE,23400,451.9
2025-01-04,11:50,PE,23500,494.95
2025-01-04,11:50,PE,23550,526.75
2025-01-04,11:50,PE,23600,541.3
2025-01-04,11:50,PE,23650,570.25
2025-01-04,11:50,PE,23800,644.25
2025-01-04,11:50,PE,23900,700.05
2025-01-04,11:50,PE,24000,772.75
2025-01-04,11:50,PE,24100,828.7
2025-01-04,11:50,PE,24200,904.25
2025-01-04,11:50,PE,24500,1123.0
2025-01-04,11:55,CE,22000,1543.15
2025-01-04,11:55,CE,22300,1306.75
2025-01-04,11:55,CE,22500,1144.0
2025-01-04,11:55,CE,22800,917.8
2025-01-04,11:55,CE,23000,773.3
2025-01-04,11:55,CE,23200,645.0
2025-01-04,11:55,CE,23300,583.0
2025-01-04,11:55,CE,23400,522.5
2025-01-04,11:55,CE,23500,467.15
2025-01-04,11:55,CE,23550,443.0
2025-01-04,11:55,CE,23600,422.05
2025-01-04,11:55,CE,23700,366.95
2025-01-04,11:55,CE,23800,322.85
2025-01-04,11:55,CE,23900,284.9
2025-01-04,11:55,CE,23950,270.9
2025-01-04,11:55,CE,24000,251.65
2025-01-04,11:55,CE,24050,232.35
2025-01-04,11:55,CE,24100,218.05
2025-01-04,11:55,CE,24150,202.35
2025-01-04,11:55,CE,24200,186.55
2025-01-04,11:55,CE,24300,160.9
2025-01-04,11:55,CE,24350,148.9
2025-01-04,11:55,CE,24400,137.75
2025-01-04,11:55,CE,24500,118.45
2025-01-04,11:55,CE,24600,103.05
2025-01-04,11:55,CE,24750,81.85
2025-01-04,11:55,CE,24800,75.0
2025-01-04,11:55,PE,21400,61.3
2025-01-04,11:55,PE,21500,67.7
2025-01-04,11:55,PE,21700,81.0
2025-01-04,11:55,PE,21800,90.45
2025-01-04,11:55,PE,21900,99.85
2025-01-04,11:55,PE,22000,114.25
2025-01-04,11:55,PE,22100,122.9
2025-01-04,11:55,PE,22200,136.7
2025-01-04,11:55,PE,22300,151.5
2025-01-04,11:55,PE,22350,159.95
2025-01-04,11:55,PE,22400,167.75
2025-01-04,11:55,PE,22500,190.45
2025-01-04,11:55,PE,22600,210.0
2025-01-04,11:55,PE,22700,231.35
2025-01-04,11:55,PE,22800,255.9
2025-01-04,11:55,PE,22900,284.15
2025-01-04,11:55,PE,23000,315.0
2025-01-04,11:55,PE,23050,327.45
2025-01-04,11:55,PE,23100,346.6
2025-01-04,11:55,PE,23150,361.65
2025-01-04,11:55,PE,23200,378.05
2025-01-04,11:55,PE,23300,414.15
2025-01-04,11:55,PE,23400,457.95
2025-01-04,11:55,PE,23500,505.0
2025-01-04,11:55,PE,23600,546.15
2025-01-04,11:55,PE,23700,595.25
2025-01-04,11:55,PE,23800,651.85
2025-01-04,11:55,PE,23900,706.0
2025-01-04,11:55,PE,24000,779.3
2025-01-04,11:55,PE,24200,904.25
2025-01-04,11:55,PE,24500,1131.0
2025-01-04,12:00,CE,21500,2000.0
2025-01-04,12:00,CE,22500,1134.95
2025-01-04,12:00,CE,22800,917.55
2025-01-04,12:00,CE,23000,773.6
2025-01-04,12:00,CE,23100,706.6
2025-01-04,12:00,CE,23200,641.05
2025-01-04,12:00,CE,23300,577.6
2025-01-04,12:00,CE,23400,522.15
2025-01-04,12:00,CE,23500,471.45
2025-01-04,12:00,CE,23600,415.75
2025-01-04,12:00,CE,23650,393.35
2025-01-04,12:00,CE,23700,369.75
2025-01-04,12:00,CE,23800,326.55
2025-01-04,12:00,CE,23900,286.0
2025-01-04,12:00,CE,24000,254.75
2025-01-04,12:00,CE,24050,230.05
2025-01-04,12:00,CE,24100,217.35
2025-01-04,12:00,CE,24150,198.25
2025-01-04,12:00,CE,24200,188.3
2025-01-04,12:00,CE,24250,174.1
2025-01-04,12:00,CE,24300,162.0
2025-01-04,12:00,CE,24400,138.25
2025-01-04,12:00,CE,24500,120.2
2025-01-04,12:00,CE,24600,103.05
2025-01-04,12:00,CE,24700,88.2
2025-01-04,12:00,CE,24800,75.2
2025-01-04,12:00,CE,24900,64.0
2025-01-04,12:00,PE,21400,60.75
2025-01-04,12:00,PE,21500,66.45
2025-01-04,12:00,PE,21700,80.35
2025-01-04,12:00,PE,21800,87.55
2025-01-04,12:00,PE,22000,111.05
2025-01-04,12:00,PE,22100,120.3
2025-01-04,12:00,PE,22200,133.45
2025-01-04,12:00,PE,22300,148.65
2025-01-04,12:00,PE,22350,162.6
2025-01-04,12:00,PE,22400,168.95
2025-01-04,12:00,PE,22500,188.6
2025-01-04,12:00,PE,22550,196.2
2025-01-04,12:00,PE,22600,206.8
2025-01-04,12:00,PE,22650,225.6
2025-01-04,12:00,PE,22700,231.75
2025-01-04,12:00,PE,22800,253.55
2025-01-04,12:00,PE,22900,280.6
2025-01-04,12:00,PE,22950,298.0
2025-01-04,12:00,PE,23000,310.65
2025-01-04,12:00,PE,23100,343.85
2025-01-04,12:00,PE,23150,361.65
2025-01-04,12:00,PE,23200,376.0
2025-01-04,12:00,PE,23250,394.8
2025-01-04,12:00,PE,23300,412.55
2025-01-04,12:00,PE,23400,456.5
2025-01-04,12:00,PE,23500,498.6
2025-01-04,12:00,PE,23600,547.0
2025-01-04,12:00,PE,23650,570.25
2025-01-04,12:00,PE,23700,603.0
2025-01-04,12:00,PE,23800,658.2
2025-01-04,12:00,PE,23900,716.3
2025-01-04,12:00,PE,24000,773.2
2025-01-04,12:00,PE,24100,836.0
2025-01-04,12:00,PE,24200,909.2
2025-01-04,12:00,PE,24400,1062.0
2025-01-04,12:00,PE,24500,1143.4
2025-01-04,12:05,CE,22000,1557.7
2025-01-04,12:05,CE,22500,1141.0
2025-01-04,12:05,CE,22800,905.65
2025-01-04,12:05,CE,22900,835.75
2025-01-04,12:05,CE,23000,761.3
2025-01-04,12:05,CE,23100,702.3
2025-01-04,12:05,CE,23200,632.35
2025-01-04,12:05,CE,23300,569.0
2025-01-04,12:05,CE,23400,514.8
2025-01-04,12:05,CE,23500,463.2
2025-01-04,12:05,CE,23600,409.7
2025-01-04,12:05,CE,23700,363.0
2025-01-04,12:05,CE,23800,318.5
2025-01-04,12:05,CE,23850,303.3
2025-01-04,12:05,CE,23900,283.55
2025-01-04,12:05,CE,24000,249.0
2025-01-04,12:05,CE,24100,214.15
2025-01-04,12:05,CE,24150,198.25
2025-01-04,12:05,CE,24200,183.3
2025-01-04,12:05,CE,24250,172.8
2025-01-04,12:05,CE,24300,158.95
2025-01-04,12:05,CE,24400,136.55
2025-01-04,12:05,CE,24500,118.0
2025-01-04,12:05,CE,24550,111.55
2025-01-04,12:05,CE,24600,102.45
2025-01-04,12:05,CE,24700,86.95
2025-01-04,12:05,CE,24800,75.95
2025-01-04,12:05,CE,24900,62.9
2025-01-04,12:05,PE,21500,67.45
2025-01-04,12:05,PE,21700,79.9
2025-01-04,12:05,PE,21800,89.5
2025-01-04,12:05,PE,21900,99.45
2025-01-04,12:05,PE,22000,113.2
2025-01-04,12:05,PE,22100,120.45
2025-01-04,12:05,PE,22200,134.55
2025-01-04,12:05,PE,22300,150.75
2025-01-04,12:05,PE,22400,168.0
2025-01-04,12:05,PE,22500,190.2
2025-01-04,12:05,PE,22600,208.85
2025-01-04,12:05,PE,22650,222.1
2025-01-04,12:05,PE,22700,233.55
2025-01-04,12:05,PE,22800,255.45
2025-01-04,12:05,PE,22850,271.15
2025-01-04,12:05,PE,22900,282.75
2025-01-04,12:05,PE,22950,300.6
2025-01-04,12:05,PE,23000,315.55
2025-01-04,12:05,PE,23100,345.0
2025-01-04,12:05,PE,23200,381.0
2025-01-04,12:05,PE,23300,419.55
2025-01-04,12:05,PE,23450,484.85
2025-01-04,12:05,PE,23500,502.5
2025-01-04,12:05,PE,23550,526.75
2025-01-04,12:05,PE,23600,545.6
2025-01-04,12:05,PE,23700,596.0
2025-01-04,12:05,PE,23800,653.95
2025-01-04,12:05,PE,23900,716.3
2025-01-04,12:05,PE,24000,783.0
2025-01-04,12:05,PE,24100,841.45
2025-01-04,12:05,PE,24200,908.45
2025-01-04,12:05,PE,24500,1139.15
2025-01-04,12:10,CE,21600,1940.0
2025-01-04,12:10,CE,22000,1572.0
2025-01-04,12:10,CE,22800,918.2
2025-01-04,12:10,CE,22850,890.0
2025-01-04,12:10,CE,23000,778.1
2025-01-04,12:10,CE,23200,643.6
2025-01-04,12:10,CE,23250,604.95
2025-01-04,12:10,CE,23300,592.0
2025-01-04,12:10,CE,23400,530.0
2025-01-04,12:10,CE,23500,470.9
2025-01-04,12:10,CE,23600,417.55
2025-01-04,12:10,CE,23650,401.95
2025-01-04,12:10,CE,23700,374.05
2025-01-04,12:10,CE,23750,352.8
2025-01-04,12:10,CE,23800,327.15
2025-01-04,12:10,CE,23900,286.1
2025-01-04,12:10,CE,23950,272.2
2025-01-04,12:10,CE,24000,252.5
2025-01-04,12:10,CE,24050,230.05
2025-01-04,12:10,CE,24100,216.85
2025-01-04,12:10,CE,24150,202.6
2025-01-04,12:10,CE,24200,187.4
2025-01-04,12:10,CE,24250,174.3
2025-01-04,12:10,CE,24300,161.85
2025-01-04,12:10,CE,24400,139.35
2025-01-04,12:10,CE,24500,119.3
2025-01-04,12:10,CE,24550,111.5
2025-01-04,12:10,CE,24600,103.35
2025-01-04,12:10,CE,24700,89.0
2025-01-04,12:10,CE,24800,76.9
2025-01-04,12:10,CE,24850,71.0
2025-01-04,12:10,CE,24900,65.0
2025-01-04,12:10,PE,21400,60.5
2025-01-04,12:10,PE,21500,66.95
2025-01-04,12:10,PE,21700,77.25
2025-01-04,12:10,PE,21800,91.15
2025-01-04,12:10,PE,21900,96.9
2025-01-04,12:10,PE,22000,111.5
2025-01-04,12:10,PE,22100,117.65
2025-01-04,12:10,PE,22200,132.6
2025-01-04,12:10,PE,22300,148.15
2025-01-04,12:10,PE,22400,165.0
2025-01-04,12:10,PE,22500,186.35
2025-01-04,12:10,PE,22600,200.35
2025-01-04,12:10,PE,22700,226.25
2025-01-04,12:10,PE,22800,253.65
