Date,Time,CE_strikes,PE_strikes
2025-01-01,15:00,"23500,23600,23700,23800,23850,23900,24000,24050,24100,24200,24300,24500,24600","22500,23000,23200,23300,23400,23500,23600,23700,23750,23800,23850,23900,23950,24000,24100,24150,24200,24300,24400,24500"
2025-01-01,15:05,"23000,23500,23600,23700,23800,23900,24000,24050,24100,24200,24300,24500","22500,22600,22700,22900,22950,23000,23100,23200,23400,23500,23600,23650,23700,23800,23900,24000,24100,24500"
2025-01-01,15:10,"22500,23500,23600,23700,23750,23800,23900,24000,24100,24300,24500,24600","22500,22600,23000,23100,23200,23300,23400,23500,23600,23650,23700,23750,23800,24000,24050,24100,24500"
2025-01-01,15:15,"23000,23500,23600,23750,23900,24000,24100,24200,24300,24500,24600","22400,22500,22600,23000,23100,23200,23400,23500,23600,23650,23700,23800,23900,24000,24150,24200"
2025-01-01,15:20,"23500,23600,23650,23700,23750,23800,23850,24000,24050,24150,24200,24300,24500,24600","22400,22500,22600,22800,22900,23000,23100,23200,23300,23400,23500,23550,23600,23700,23750,23800,23850,23900,23950,24000,24050,24100,24150,24500,24600"
2025-01-01,15:25,"23000,23500,23600,23700,23750,23800,23850,23900,23950,24000,24050,24150,24200,24300,24350,24400,24500,24600","22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,23950,24000,24050,24100,24150,24200,24300,24400,24500"
2025-01-01,15:30,24000,23800
2025-01-04,09:15,"22000,22500,22800,23000,23100,23200,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23900,24000,24100,24200,24300,24400,24500,24550,24600,24700,24800,24900","21500,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,22950,23000,23050,23100,23150,23200,23300,23400,23500,23600,23700,23750,23800,23900,24000,24200,24300,24500"
2025-01-04,09:20,"22000,22500,22800,22900,23000,23100,23200,23250,23300,23400,23450,23500,23550,23600,23650,23700,23750,23800,23850,23900,24000,24100,24150,24200,24300,24400,24450,24500,24550,24600,24700,24800,24900","21400,21500,21800,22000,22100,22200,22300,22400,22500,22600,22650,22700,22800,22900,23000,23050,23100,23200,23250,23300,23400,23450,23500,23550,23600,23700,23750,23800,23900,24000,24100,24200,24500,24800"
2025-01-04,09:25,"22500,22800,23000,23100,23200,23300,23400,23500,23600,23650,23700,23800,23900,24000,24100,24200,24300,24400,24450,24500,24550,24600,24700,24800,24900","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23600,23650,23700,23800,23900,24000,24200,24300,24400,24500"
2025-01-04,09:30,"22000,22500,22900,23000,23100,23200,23300,23500,23550,23600,23650,23700,23750,23800,23900,24000,24100,24200,24300,24400,24500,24550,24600,24700,24750,24800,24850,24900","21400,21500,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23050,23100,23200,23300,23400,23450,23500,23550,23600,23700,23750,23800,23900,24000,24100,24200,24550"
2025-01-04,09:35,"22000,23000,23100,23200,23300,23400,23500,23550,23600,23700,23750,23800,23900,24000,24100,24150,24200,24300,24350,24400,24450,24500,24550,24600,24700,24800,24900","21400,21500,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23150,23200,23250,23300,23400,23500,23600,23700,23800,23900,24000,24200,24500"
2025-01-04,09:40,"22500,22900,23000,23200,23300,23450,23500,23550,23600,23650,23700,23800,23850,23900,24000,24050,24100,24200,24300,24400,24500,24550,24600,24700,24800,24850,24900","21400,21500,21800,21900,22000,22100,22200,22300,22350,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23450,23500,23550,23700,23800,23900,24000,24100,24200,24400,24500"
